episode,timesteps,furthest_platform,total_platforms,episode_reward
1,928,0,40,-8.72
2,1860,0,40,-9.33
3,2680,0,40,-13.7
4,4280,0,40,-17.6
5,6088,0,40,-16.92
6,6608,0,40,-15.22
7,7200,0,40,-16.4
8,7540,0,40,-12.23
9,9060,0,40,-16.7
10,9148,0,40,-15.45
11,9728,0,40,-14.37
12,10316,0,40,-16.39
13,11420,0,40,-12.46
14,12008,0,40,-11.37
15,12884,0,40,-18.66
16,15852,0,40,-22.51
17,16348,0,40,-16.2
18,17552,0,40,-22.36
19,18540,0,40,-15.28
20,19044,0,40,-13.33
21,20084,0,40,-15.5
22,20248,0,40,-13.57
23,20364,0,40,-19.58
24,20884,0,40,-13.6
25,21532,0,40,-13.11
26,22996,0,40,-13.56
27,23208,0,40,-15.61
28,23408,0,40,-11.03
